,pipeline,experiment_folder_name,run_name,dataset_name,training_proportion,is_subset,batch_size,num_workers,learning_rate,n_epochs,dose,dual_loss_weighting,reconstruction_loss,sinogram_loss,reconstruction_network,primal_dimension,primal_name,primal_n_layers,primal_n_filters,dual_dimension,dual_name,dual_n_layers,dual_n_filters,lpd_n_iterations,fourier_filtering_is_filter,angle_partition_min_pt,angle_partition_max_pt,angle_partition_shape,detector_partition_min_pt,detector_partition_max_pt,detector_partition_shape,src_radius,det_radius,beam_geometry,LIDC-IDRI-0893,LIDC-IDRI-0772,LIDC-IDRI-0900,LIDC-IDRI-1002
0,reconstruction,6_percent_measurements,1d_1it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,cnn_block,1,8,1,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,13.356966304779053,20.044688941648342,18.899465086233562,13.279020692700538
0,reconstruction,6_percent_measurements,1d_5it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,cnn_block,1,8,5,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,14.314659092344087,19.570767927489825,22.034073872803564,14.15800309998224
0,reconstruction,6_percent_measurements,2d_5it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,cnn_block,1,8,5,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,12.766433788168019,23.134641672940862,24.773634586938368,13.010535338214625
0,reconstruction,6_percent_measurements,2d_5it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,Unet,1,8,5,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,13.828184154115874,21.964352742137525,21.320467318884386,14.470127726641028
0,reconstruction,6_percent_measurements,2d_1it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,cnn_block,1,8,5,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,12.680945116898108,19.381281436689747,24.200212646933164,13.235085924095083
0,reconstruction,6_percent_measurements,2d_5it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,Unet,1,8,5,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,15.86743153210344,25.116846404619665,27.16282488102287,15.86015691192722
0,reconstruction,6_percent_measurements,1d_1it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,Unet,1,8,1,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,13.064661173984922,19.574084819563282,18.572339767784015,13.061293714885771
0,reconstruction,100_percent_measurements,1d_1it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,Unet,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,14.133752490734231,19.798950016098534,22.646006709310264,14.262210453782126
0,reconstruction,100_percent_measurements,1d_1it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,cnn_block,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,14.621339350733264,20.32506835860694,20.93343402465544,14.160093699660257
0,reconstruction,100_percent_measurements,1d_1it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,cnn_block,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,12.559826354322762,17.859326778642284,20.65981544304757,12.726561534441892
